rxn,flux,lb,ub
13GS_c,0.06670597971826639,0.0,1000.0
16GS_c,0.017554184674219202,0.0,1000.0
PRMICI_c,0.008549182526026064,0.0,1000.0
ACHBS_m,0.0197690946911468,0.0,1000.0
AATA_c,0.026940006845879008,-1000.0,1000.0
IPPMIb_c,-0.03700775615466431,-1000.0,1000.0
UNK3_c,1.3991274407528478e-18,0.0,1000.0
HCITR_m,0.026940006845878998,-1000.0,1000.0
OMCDC_c,0.037007756154664305,0.0,1000.0
BPNT_c,0.012439756407690052,0.0,1000.0
DHQTi_c,9.76732218752069,0.0,1000.0
DHQS_c,9.767322187520689,0.0,1000.0
DDPA_c,9.76732218752069,0.0,1000.0
HACD140i_x,1.2803664649823767e-17,0.0,1000.0
IPPMIa_c,-0.037007756154664305,-1000.0,1000.0
IPMD_c,0.037007756154664305,0.0,1000.0
PSCIT_c,0.03150489613637347,0.0,1000.0
MTAP_c,2.6672712797357272e-18,0.0,1000.0
PRFGS_c,0.018345927671397422,0.0,1000.0
MTHFR3_c,0.022126311573982187,0.0,1000.0
FTHFCL_c,1.5092620270147876e-18,0.0,1000.0
MDRPD_c,2.667271279735727e-18,0.0,1000.0
MTRI_c,2.667271279735727e-18,-1000.0,1000.0
KARA1i_m,0.06837309788983742,0.0,1000.0
ACLS_m,0.06837309788983742,0.0,1000.0
ACACT260i_x,-2.0031483653141073e-33,0.0,1000.0
ACACT40ir_c,0.03128052338980144,0.0,1000.0
ACACT140i_x,1.2803664649823767e-17,0.0,1000.0
ACACT100i_x,-3.837310352975636e-33,0.0,1000.0
ACGK_m,0.0472067190965515,0.0,1000.0
ACOTAi_m,0.0472067190965515,0.0,1000.0
ACOAO260_x,-2.3751555071787016e-32,0.0,1000.0
ACOAO140_x,1.2803664649823767e-17,0.0,1000.0
ADPT_c,1.8403517377497662e-18,0.0,1000.0
ADNK1_c,0.0136277240801223,0.0,1000.0
AHCi_c,0.0136277240801223,0.0,1000.0
ADK1_c,0.8682750726590284,0.0,1000.0
ADK1_m,-7.620280341449144e-15,0.0,1000.0
ADSL2i_c,0.018345927671397425,0.0,1000.0
ADSL1r_c,0.015794824654791973,-1000.0,1000.0
ADSS_c,0.015794824654791973,0.0,1000.0
ADSK_c,0.012439756407690048,0.0,1000.0
ALATRS_c,0.0432822757129132,0.0,1000.0
TRE6PS_c,0.013418898819459396,0.0,1000.0
ANPRT_c,0.004264937590227402,0.0,1000.0
ANS_c,0.004264937590227402,0.0,1000.0
ARGSL_c,0.024214274377416606,-1000.0,1000.0
ARGSS_c,0.024214274377416602,-1000.0,1000.0
ARGTRS_c,0.024214274377416602,0.0,1000.0
ASNS1_c,0.013600960029826902,0.0,1000.0
